1,Connor,Gomes,connorgomes@cmail.carleton.ca,Grogbottle
2,Jimmy,Timmy,jimmytimmy@cmail.carleton.ca,password
3,Will,Chartrand,willchartrand@cmail.carleton.ca,password
4,John,Doe,johndoe@gmail.com,password
5,Jim,John,jimjohn@gmail.com,password
6,bat,man,batman@gmail.com,password
7,Jake,Jazokas,jakejazokas@cmail.carleton.ca,password
8,Johnny,John,JohnnyJohn@cmail.carleton.ca,password
9,Jimbo,Jam,jimbojam@cmail.carleton.ca,password
10,Drake,Tyrone,draketyrone@gmail.com,password
11,Stephan,Birkenstock,StephanBirkenstock@gmail.com,password
